YEAR,File_Title,Description,Native claim,PEOPLE: 0,LOCATION,LATITUDE,LONGITUDE,"Annual Report of the Colonies, Southern Nigeria, 1906",University of Ilinois Repository
1938,Ngwo elders refuse fingerprint verification for 1915 agreement​,Chiefs claim prior agreements were never consented to​,Chiefs plan to go to law over disputed 1915 and 1917 deeds​,"Nnadi Nwagu, Ozo Eze Nwonu, Resident Officer","Enugu, Lagos",6.43096,7.47905,Crown Land - Google Drive,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267."
1940,Waterworks land dispute: Ngwo claims no prior land surrender​,Ngwo chiefs demand £1000 annual rent for waterworks land​,Chiefs state they would accept forced acquisition if compensated​,"Ngwo Councilors, Resident Officer",Enugu Waterworks,6.448205,7.484263,Crown Land - Google Drive,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267."
1940,Debate over returning unused Crown Land portions to local communities​,Government proposes to rent occupied areas while releasing unused land​,Chiefs seek clarification on which lands will be returned or retained​,"Ngwo Council, Resident Officer,",Udi Forest Reserve,6.4294,7.4414,Crown Land - Google Drive,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267."
1940,Anti-erosion funding allocated from Udi Forest Reserve’s £360 rent​,Chiefs argue that funds should benefit local communities directly​,Chiefs insist only land directly used by government should incur rent​,"Udi Chiefs, Senior Resident, Udi Native Authority Treasury",Enugu Township,6.404611,7.500266,Crown Land - Google Drive,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267."
1940,Proposal to return unused Crown Land near Enugu township​,Chiefs request rent for areas still under government control​,Chiefs insist future agreements be collectively signed​,"Enugu Chiefs, District Officer",Enugu Waterworks,6.448205,7.484263,Crown Land - Google Drive,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267."
1940,Ngwo demand transparency on waterworks land acquisition​,Chiefs want rent payments to benefit entire community​,Chiefs maintain stance on local land policy control​,"Ngwo Chiefs, District Officer",Enugu Waterworks,6.448205,7.484263,Crown Land - Google Drive,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267."
1940,Emene aerodrome project: local chiefs demand fair rent for land​,Proposed rate of five shillings per acre for aerodrome land​,Emene councilors dispute land revenue rights with nearby villages​,"Emene Chiefs, Nike chiefs, Resident Officer","Emene, Nike Group Land",6.474094,7.562007,Crown Land - Google Drive,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267."
1940,Udi chiefs question rent payments as fair compensation​,Funds from Udi Forest Reserve allocated to anti-erosion only​,Chiefs argue that Udi rent should support community needs directly​,"Udi funds allocated for erosion management, despite protests​","Udi, Enugu",6.43096,7.47905,Crown Land - Google Drive,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267."
1940,Proposal to define clearer boundaries for waterworks land​,Chiefs demand community rent for all utilized government areas​,Ngwo chiefs remain opposed to government control over traditional land​,"Ngwo Council, Resident Officer",Ngwo Forest Reserve,6.4294,6.4294,Crown Land - Google Drive,"National Archives, Enugu Nigeria, Crown Lands_Enugu Crown Lands, File Number: Op 1867, Volume 1, Ondist 12/1/1267."
1999,Privatization of Coal Mines,"Nigerian government initiated privatisation and commercialisation of several moribund sectors, including the coal industry, in an effort to diversify the economy and reduce oil dependency.",Native communities suspected more land dispossession,"Enugu Residents and Community, Federal Government",Enugu,6.43096,7.47905,,"Umejesi, Ikechukwu. “Coal Sector Revitalization, Community Memory, and the Land Question in Nigeria: A Paradox of Economic Diversification?” *African Studies Quarterly*, vol. 10, no. 1, 2010, pp. n. pag. Print."
2004,Coal Mines Concession to Global Infrastructure Inc.,"Enugu coal mines were concessioned to Global Infrastructure Inc., an Indian firm","Residents of Enugu Coal fields filed an injunction  to stop the eviction notice. In 2004 , a court injunction was obtained by the local community.",,Enugu,6.43096,7.47905,,"Umejesi, Ikechukwu. “Coal Sector Revitalization, Community Memory, and the Land Question in Nigeria: A Paradox of Economic Diversification?” *African Studies Quarterly*, vol. 10, no. 1, 2010, pp. n. pag. Print."
